scenario_time,value,rolling_avg
138.263754,13.661035,27.495393815555552
138.297189,13.060448,27.50348036333333
138.330393,12.461684,27.510636256666665
138.363745,11.864718,27.516859531111113
138.397345,11.269531,27.522417056666665
138.43064,10.676111,27.527305726666665
138.463767,10.084453,27.531522354444444
138.497053,9.494564,27.535063692222224
138.530599,8.906468,27.537926453333338
138.562893,8.320206,27.54010733666667
138.584277,7.735847,27.541603058888892
138.612089,7.153499,27.542410405555557
138.647121,6.573326,27.54261935222222
138.680094,5.995572,27.54222414666667
138.713614,5.420605,27.54121942222222
138.746933,4.848989,27.53960043777778
138.78037,4.281608,27.537363454444446
138.813647,3.719907,27.534506385555552
138.84689,3.166369,27.53102997222222
138.880525,2.625551,27.526940106666665
138.913924,2.106567,27.52225292
138.946227,1.629569,27.51700706333333
138.979243,1.242838,27.511294978888888
139.009489,1.050153,27.505324580000003
139.044164,1.15239,27.499416035555555
139.080568,1.489431,27.49382290111111
139.113989,1.942285,27.48866671
139.147126,2.447218,27.483998374444447
139.180742,2.97767,27.479839494444448
139.213602,3.522008,27.476198943333333
139.247192,4.074592,27.473079524444444
139.28035,4.632426,27.470480906666662
139.312621,5.193802,27.468401051111112
139.346816,5.508169,27.466559712222224
139.380596,5.823889,27.46495277888889
139.413732,6.140855,27.46357619
139.44705,6.458991,27.46242595888889
139.480627,6.778247,27.46177228333333
139.513758,6.848638,27.46133238111111
139.546775,6.920291,27.46110143
139.57985,6.993347,27.46107481111111
139.613349,7.067948,27.461248125555556
139.64627,7.144232,27.461617194444443
139.678507,7.222339,27.462178075555553
139.713648,7.302406,27.462927066666662
139.746924,7.384565,27.46386071333333
139.780432,7.468951,27.46497581777778
139.813987,7.555692,27.466269444444443
139.847031,7.644915,27.46773892222222
139.880188,7.736743,27.46938185222222
139.913943,7.831296,27.47119610777778
139.946795,9.574793,27.47500884
139.980317,9.669625,27.478983341111114
140.013721,9.767071,27.48311781111111
140.04685,9.867242,27.489150979999998
140.067691,7.852045,27.49469745222222
